,role,firm,location,jd,time_ago
1544,Portfolio Management - Active Portfolio (Team Lead) - CardX,"Siam Commercial Bank Public Co., Ltd. - Card X",Jatuchak,Portfolio ManagementUnsecured LendingBusiness Analytics,4d ago
1545,System Analyst ด่วน!,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),7d ago
1546,Senior Valuer/ผู้ประเมินราคาทรัพย์สินอาวุโส,"C. I. T. Property Consultants Co., Ltd.",Klongtoey,,3d ago
1547,Business Process Improvement & RPA,CIMB Thai Bank,Pathumwan,Good communication and presentation skillsGood written skillsKnowledge of business process re-engineering.,6d ago
1548,"IT Programmer,  Business Technology (Information Technology) Department","UOB Asset Management (Thailand) Co., Ltd.",Sathorn,,2d ago
1549,Project Manager,Fresenius Medical Care Ltd.,Pathumwan,Business DevelopmentMarket AnalysisFinancial,3d ago
1550,Planning & Sourcing Staff/Supervisor,"The Thai Silk Co., Ltd.",Prakanong,At least 2-5 years of experience in planning.Purchasing products from a supplier.Good knowledge of aviation industry basics,4d ago
1551,Portfolio Management - Revenue Generation (Senior Professional) - CardX,"Siam Commercial Bank Public Co., Ltd. - Card X",Jatuchak,Portfolio ManagementUnsecured LendingBusiness Analytics,4d ago
1552,Valuer/ผู้ประเมินราคาทรัพย์สิน,"C. I. T. Property Consultants Co., Ltd.",Klongtoey,,3d ago
1553,Demand and Supply Planning Specialist (Fresh Meat),Tyson International APAC Ltd.,Bangkok,"3+ years experience in demand and supply planningStrong data and analytic skills, MS ExcelGood command of English, written and spoken",7d ago
1554,Project Manager – DataX (Senior - Lead),"Siam Commercial Bank Public Co., Ltd. (Project 5)",Jatuchak,"Understanding of Business Intelligence PlatformsDatawarehouse, Data Lake experience3+ years of Project Management",7d ago
1555,Marketing Supervisor (ทำงานเสาร์เว้นเสาร์)/หัวหน้าฝ่ายการตลาด,Master Style Public Company Limited,Dusit,"รายได้ดี,เจ้าของกิจการ,การตลาดอยากเติบโต,Clinicท้าทาย,โรงพยาบาล,ศัลยกรรม",2d ago
1556,"Associate Consultant, Headhunter",WE SUPPLY TALENT,Bangkok,"Market Leading Commissions and IncentivesDiverse International CultureSelf driven, open minded and outgoing personality",3d ago
1557,Digital Media Optimizer (Facebook & YouTube) (40K-50K) (SDG-79657)/เจ้าหน้าที่ฝ่ายเครื่องมือเพิ่มประสิทธิภาพสื่อดิจิทัล (Facebook & YouTube),"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Ladprao,Experiences in Digital media optimizerAt least 3 years of management experienceImplement optimization solutions,3d ago
1558,Programmer/โปรแกรมเมอร์,"Isuzu Motors Co., (Thailand) Ltd.",Phrapradaeng,Experience 0-4 years in IT Related fieldsWelcome fresh graduatesProficient in Microsoft Office,3d ago
1559,Application Manager,Queen Sirikit National Convention Center.,Huaykwang,Experience in Business Requirements AnalysisApplication DeveloperProgram/ Application Support,4d ago
1560,AXA YoungPro (Young Professional Development Program),AXA Insurance Public Company Limited,Sathorn,Young Professional Development ProgramUniversity graduate in Insurance0-1 year related work experience,4d ago
1561,Purchasing Supervisor,DSG International (Thailand) PLC,Saraburi,Bachelor Degree in Administration or any business5 years of purchasing experiences in FMCG IndustryExperience in Purchasing / Supply Chain Management,6d ago
1562,Marketing Specialist,Kenan Foundation Asia,Klongtoey,,3d ago
1563,Senior Digital Media Planner,"i-dac (Bangkok) Co., Ltd.",Pathumwan,,6d ago
1564,"Strategic Research and Development, Section Head (Leading Financial Institution), Bangkok","Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Leading Financial InstitutionAnalyzing in-depth studiesChallenging Career Aspects,6d ago
1565,Futures Trader (Commodity market),"Mitr Phol Sugar Corp., Ltd.",Klongtoey,Exp in commodity market/ equity&securities analystExcellent in MS ExcelEnglish (TOEIC 750 up),7d ago
1566,Technical Product Manager / Business Assistant/Technical Product Manager / Business Assistant,"Hashed Analytic Co., Ltd",Phayathai,,4d ago
1567,HRIS Manager,Dohome Public Company Limited,Dindaeng,"MIS, Data AnalysisSAP - SuccessFactors HR Modules5 Years of experience",3d ago
1568,Team Head of IT Middleware and Database Management,Kiatnakin Phatra Bank Public Company Limited,Wattana,"Responsible for middleware architectureInstallation, Upgrades, Migrationsin Database Administration and related DB Software",4d ago
1569,SAP Business One Specialist,Dacon Inspection Technologies Company Limited,Rayong,"Gather & analyze company business and functionalDesign&undertake system testing, provide solutions5-day work week, Life insurance, Dental insurance",2d ago
1570,Project Strategy & Business Development (Up to Manager level) – Healthcare Business,B.Grimm Joint Venture Holding Limited,Bangkapi,"Bachelor/Master in MBA, Business or related fieldWell-organized, Understanding the “big-picture”Excellent in English is a must, High ownership",2d ago
1571,Marketing Effectiveness Manager - Media Analytics,Page Group Thailand,Bangkok,Work for a top tier MNC agencyAnalytics & Marketing Mix ModelingMedia & Agency background,6d ago
1572,Senior Tax Accountant (ID: 554454),"BTI Executive Placement (Thailand) Co., Ltd.",Chachoengsao,"with holding tax, VAT, Corporate Income TaxSAPGood communications in English",20h ago
1573,Head of Engineer (Python),PRTR,Bangkok,Head of Engineering (Python)International EnvironmentGlobal Reach,4d ago
1574,AM – Product System & Process Solution,Krungthai AXA Life Insurance Public Company Limited,Huaykwang,3 years of insurance system implementationExperience in product development processExperience in system development process,6d ago
1575,Business Analyst Executive (ERP Software Support team),"Acty System (Thailand) Co., Ltd.",Huaykwang,Bonus 2 times/yearMinimum 10 days vacation/yearTravel & Business Trip at our head office in Japan,6d ago
1576,Business analyst/Financial Analyst & Reporting (Contact Neung),"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangsaotong,Salary package: 50K with 2.5 months bonusWelcome for TALENT 2+ years experiencesContact [email protected],13d ago
1577,Monitoring and Evaluation Officer,World Wide Fund for Nature International: WWF,Phayathai,"NGO, INGO, Environmental ConservationProject Management, Data AnalysisContribute development and update M&E plan",4d ago
1578,Field Auditor,"Ngernturbo Co., Ltd. / บริษัท เงินเทอร์โบ จำกัด",Prakket,"Be able to travel in upcountryHealth Benefit, Accidental InsuranceNew grads are also welcome!",4d ago
1579,Back-end Python Developer,"SMART BITS GAMES CO., LTD.",Bangkok,"Develop back office and back-end systemsExperienced with Python and Django5 days work week, bonus, work from home",4d ago
1580,Internet & Mobile Banking Specialist,KASIKORNBANK PUBLIC COMPANY LIMITED,Phayathai,"2 years of experience in Internet / mobile bankingStrong in communication, presentation skillPhaholyothin Office (Near BTS Ari)",3d ago
1581,RDT Manager,Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,Regulatory Data Transformation (RDT)MIS experience with IT backgroundData Management,13d ago
1582,"Senior System Analyst (Power Apps, RPA, Automation)","FOOD PROJECT (SIAM) CO., LTD.",Yannawa,,5d ago
1583,Digital Marketing Performance Manager,"Donuts Bangkok Co., Ltd.",Huaykwang,,4d ago
1584,Technical Specialist - New Graduate are welcome,Central Retail Corporation (CRC Talent Acquisition),Huaykwang,ERPTechnicalIT,5d ago
1585,Application Consultant (SQL command),"Orisoft (Thailand) Co., Ltd.",Sathorn,"5 Minutes-walk from BTS Chong Non Sri, Premium InsMulti-National team, Competitive salaryHealth Insurance Premium Package & Bonus",20h ago
1586,"Sr.Officer-Mgr., -(Global Market Operation Center)/GMOC - (1 Year Contract)",United Overseas Bank (Thai) Public Company Limited (UOB),Wattana,Record MappingAccountingOperations and Accounting,20h ago
1587,Senior Python Developer,PRTR,Bangkok,Senior Python DeveloperMachine LearningArtificial Intelligence,6d ago
1588,เจ้าหน้าที่แลกเปลี่ยนเงินตราต่างประเทศ (ประจำ Booth สุวรรณภูมิ / ดอนเมือง),KASIKORNBANK PUBLIC COMPANY LIMITED,Ladkrabang,Foreign exchangeBooth exchangeแลกเปลี่ยนเงินตราต่างประเทศ,20h ago
1589,Logistics Analyst (Location : Phrapradaeng Plant),Tipco Asphalt Public Company Limited,Phrapradaeng,Logistic AnalystTransportation AnalystDatabase Management,4d ago
1590,Frontline Business Development Officer,"Toyota Leasing (Thailand) Co., Ltd.",Bangrak,"Frontline Project Management, CRM, IT SolutionData management & reports5-day workweek",4d ago
1591,Project Manager /Project Lead / Sr.Business Analyst,"Avalant Co., Ltd.",Bangrak,,5d ago
1592,Product Management (Cross-Border Payments & Remittance),Bangkok Bank Public Company Limited,Bangrak,"product Management , Product DevelopmentBusiness AnalystCross Border , Remittance",6d ago
1593,"Operations Excellent, System & Network Optimization Analyze",DHL eCommerce Solutions (Thailand) Limited,Bangkok Area - Samutprakarn,"Excellent communication skills in EnglishStrong knowledge of requirements and tools,SQLWorking Location: Central Hub at Bangna K.M. 16.5",5d ago
1594,Assistant HR Manager - C&B (ID:558250),"BTI Executive Placement (Thailand) Co., Ltd.",Bangkok,Compensation & Benefits strategiesData analyze and Computer literacyEnglish communication and presentation skill,3d ago
1595,Supply Chain Deputy Manager,"Flash Express Co., Ltd.",Wangthonglang,Tiktok-EcommerceSupply Chain ManagementMarket trend,6d ago
1596,Digital Marketing Executive/ผู้บริหารการตลาด,DIGITAL ACCESS SOLUTIONS LIMITED PARTNERSHIP,Bangkok,"Digital marketing. Digital accountsSocial Media ManagementSEO, SEM,",6d ago
1597,Test Manager (Financial System),"Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,Financial System ManagementTest managementKnowledge in ERP and OFSAA application,5d ago
1598,Fraud Technology  (FAVP),Krungsri Bank (Bank of Ayudhya PCL.),Yannawa,IT FraudFraud ManagementMIS,6d ago
1599,Supply chain supervisor - Up to 45K - Samut Prakan *English is required,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok Area - Samutprakarn,Supply chian managementSAP or any ERP experienceGood in English,3d ago
1600,Programmer/โปรแกรมเมอร์,Loxley Public Company Limited,Klongtoey,,3d ago
1601,Data Center Operations Manager,"TALENTVIS RECRUITMENT (THAILAND) CO., LTD.",Huaykwang,"Bachelor in electrical engineer or related fieldExperience in IT industry, organization managementExcellent English skill",5d ago
1602,Compensation & Benefits Section Head [ Senior level of Human Resource Management ]/หัวหน้าหน่วยงาน บริหารค่าตอบแทน และสวัสดิการพนักงาน [ระดับเจ้าหน้าที่อาวุโส],Cardinal Health 222 (Thailand) Ltd.,Rayong,Manage overall plant compensation and benefitsLead HR team to implement C&B policies & projectsSupport Global C&B project and program deployments,6d ago
1603,"Head, Preferred Segment, FVP",CIMB Thai Bank,Pathumwan,Head Office based in Chidlom area (BTS)Annual Leave start from 17 Days/yearExperience in affluent segment behavior,4d ago
1604,"VP, Collection Strategy Management- SCB Plus","Siam Commercial Bank Public Co., Ltd. (SCB)",Jatuchak,"Perform collection risk strategiesKnowing  collection strategy system (TRIAD)Technical skill in SAS, SQL (Plus) and Power BI",4d ago
1605,Customer Relationship Management Manager (CRM),Jubilee Enterprise Public Company Limited,Sathorn,"Bachelor's degree in Marketing, Economics10 years of experience in CRM MarketingSignificant experience in the area of marketing",4d ago
1606,Senior Consultant (business and brand consulting) (47203),"PASONA RECRUITMENT (THAILAND) CO., LTD.",Wattana,"Business consultingAutomotive, FMCG, F&BWork Mon - Fri, Good benefit",6d ago
1607,App Activation Assistant Manager,Major Cineplex Group Public Company Limited,Jatuchak,"Digital Marketing, Social MediaOnline Marketing, App GrowthCRM, Loyalty programs",3d ago
1608,Checkpoint Control Manager (Urgently Required),"TD Tawandang Co., Ltd.",Sathorn,Handle for store opening workflowsExcellent analytical and Math skillsStrong MS Excel and presentation skills,4d ago
1609,Digital Strategy and Platform,Krungthai Bank PCL,Pathumwan,Product OwnerBusiness AnalystSoftware Development,5d ago
1610,Financial  Analyst (Specialist) (BBTEC),"Benchachinda Holding Co., Ltd.",Jatuchak,Financial AnalystBusiness AnalystAmbition to develop and accept new challenges,12d ago
1611,URGENT! IT Programmer Director for Textile Recycling manufacturer / Hybrid / Max 200K,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Bangkok Area - Samutprakarn,"IT Programmer Director for textile manufacturera leading Textile recycled manufacturerGood benefits & welfare, Hybrid working style",2d ago
1612,Digital Marketing Specialist/Executive,"M Intelligence Co., Ltd.",Bangrak,Competitive salary & performance bonusFlexible working hourSelf-Managed,5d ago
1613,Product Marketing Manager/Product Marketing Manager,MARVEL EYECARE COMPANY LIMITED,Klongluang,,3d ago
1614,Digital Strategic Planner/เจ้าหน้าที่วางแผนกลยุทธ์การตลาดดิจิทัล,"Digimusketeers Co., Ltd.",Jatuchak,,6d ago
1615,Supply Chain Management (Senior)  – Rayong – 30K to 45K,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Rayong,Chemical business5 working daysGood benefits,4d ago
1616,Assistant Product Manager/ Product Analyst/ผู้ช่วยผู้จัดการผลิตภัณฑ์/ นักวิเคราะห์ผลิตภัณฑ์,"Dapper General Apparel Co., Ltd.",Bangkapi,,5d ago
1617,Digital Marketing/การตลาดออนไลน์,"Saeng Charoen Grand Co., Ltd.",Phrapradaeng,MarketingการตลาดOnline,5d ago
1618,SEO Lead,"Shopee (Thailand) Co., Ltd.",Huaykwang,"SEO techniques, Drive SEO in content creationHTML, CSS, and JavaScriptFluent in English skills",3d ago
1619,ERP Consultant,JAC International,Bangkok,FinancialAccountingERP,6d ago
1620,Product Owner (Mutual Fund App/ Robo Advisor) - Fintech Business,Robowealth Mutual Fund Brokerage Company Limited,Bangkok,,4d ago
1621,Project Associate (Contract),Grab,Bangkok,Monitor & ensure project deliverablesCollaborate with multiple project stakeholdersAssist in developing project strategies,5d ago
1622,BUSINESS DEVELOPMENT CONSULTANT – PRIVATE EQUITY,SmartSearch Recruitment,Pathumwan,Conducting research and analysis marketAt least 2 years of experience preferablyWork experience in Business development,4d ago
1623,Digital Fraud,Bangkokbank (BBL),Bangrak,Bachelor’s / Master's Degree in LawCompliance ExperienceStrong analytical minded person,5d ago
1624,Marketing Online Manager/Marketing Online Manager,"Gold Bell System Co., Ltd.",Pravet,,5d ago
1625,Automation Engineer (Saraburi Plant),Siam City Cement Public Company Limited,Saraburi,Implement Hardware and software in automationAnalysis Data / Preventive MaintenaceLocation based in Saraburi,6d ago
1626,IT Business Analyst,HU & MAR Consulting (Thailand) Ltd.,Suanluang,Project Management Training (ITPM)Competent in Microsoft Office suiteStrong analytical and product management,13d ago
1627,HRIS Administrator,KYOCERA AVX Components (Bangkok) Ltd.,Nakhon Ratchasima,HRISTracking and implementing HR technologicalNew setup Plant,6d ago
1628,Senior Manager - Compensation & Benefits,Generali Insurance (Thailand) Public Company Limited,Pathumwan,"Good command of English6-8 years working experiences in C&BAdvance skill in MS Excel, Power BI",4d ago
1629,Senior Analyst,Krungthai Bank PCL,Wattana,data analyticseconomic policyExperienced in using econometrics tools,12d ago
1630,Order to Cash Analyst (Account Receivable),ELCA (Thailand) Ltd.,Bangrak,Accounts Receivable (e-commerce channel)Works closely with shared service teamSAP AR module/ Order to cash process,6d ago
1631,Digital Campaign Operation Supervisor-Assistant Manager,AIA Company Limited,Bangrak,Digital CampaignCampaign operationMarketing campaign,4d ago
1632,Operational Risk,KASIKORNBANK PUBLIC COMPANY LIMITED,Phayathai,Operational Risk ManagementRisk ManagementBusiness process,4d ago
1633,Analyst (Water quality),JAC Recruitment Thailand,Bangbor,Analyst(Water quality)Environmentchemical,5d ago
1634,Marketing Power solution manager,"ZTE (Thailand) Co., Ltd.",Sathorn,MarketingChinesecommunication power supplies,5d ago
1635,Sr.Oracle System Analyst (Experience Module Oracle Factory)100K /Bonus /Khlongluang/ Fluent English,"PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Klongluang,"Experience in Module Oracle manufacturingOracle MRP ,Oracle distribution or Oracle FinanceGood command of written and spoken English",5d ago
1636,พนักงานประจำร้านกาแฟ สาขาชลบุรี,Amway (Thailand) Limited,Chonburi,,3d ago
1637,Programmer/โปรแกรมเมอร์,DDK (Thailand) Ltd.,Klongluang,"Bachelor of Computer ScienceAble to Programming ASP.Net,SQL ServerHave knowledge program ERP",2d ago
1638,Senior Finance Executive,SAPPE PUBLIC COMPANY LIMITED,Bangkapi,2-5 years of direct experienceEager to learn and seek for self-development.Be able to work under pressure.,5d ago
1639,Assistant Digital Media Manager /  Digital Media Manager,"SSUP HOLDINGS CO., LTD.",Rajthevee,"Plan and manage digital media strategies (SEO/SEM)Measure&report performance of digital mkt campaignAnalyze the market trend, competitor's performance",6d ago
1640,Financial Planning and Analysis (FP&A),"Toshiba Thailand Co., Ltd.",Jatuchak,,6d ago
1641,Assistant Manager – Risk Management,Sri Trang Agro - Industry Public Company Limited,Pathumwan,"2 years of experience in Risk ManagementGood analytical, interpersonal and communicationGood command of English skill",4d ago
1642,"Digital Solution for Circular Economy & Sustainability  , Chemical Business",The Siam Cement Public Company Limited (SCG),Bangsue,developing and expand the business  PlatformExplore and develop potential partnersHave a commercial sense and marketing knowledge,6d ago
1643,Innovation Student Segment - True Lab,True Corporation Public Company Limited,Huaykwang,Start upีpartnershipstart up activities,5d ago
1644,"HRSS Analyst - Contract 4 months (Up to THB 45,000)","PERSOLKELLY HR Services Recruitment (Thailand) Co., Ltd.",Wattana,"Good Command of EnglishHR Cloud System, HRSS, HR Client Service, PayrollFinancial, Banking Service",5d ago
1645,SAP RPA  Analyst & Developer (IT),"Zygen Co., Ltd.",Huaykwang,,8d ago
1646,Treasury Specialist,Central JD Commerce Limited.,Huaykwang,"Perform financial forecasting, reportingGood verbal & written communication skills in EngNew graduates with Finance major are welcomed",5d ago
1647,Marketing Specialist /ผู้เชี่ยวชาญด้านการตลาด,The Afternoon Company Limited,Bangkok,,5d ago
1648,HRIS Executive,"REV EDITION CO., LTD.",Pathumwan,,5d ago
1649,Connext Business and CRM/Campaign Management Team,Krungthai Bank PCL,Pathumwan,marketing strategyCRM campaigncustomer segment,6d ago
1650,System Analyst รับสมัครด่วน !,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),5d ago
1651,System Analyst รับสมัครด่วน !,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),5d ago
1652,System Analyst รับสมัครด่วน !,"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),5d ago
1653,System Analysis Specialist  (สมัครด่วน!!),"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),5d ago
1654,System Analysis Specialist  (สมัครด่วน!!),"Prospersof Consulting Co., Ltd.",Bangkok,มีประสบการณ์พัฒนาและออกแบบระบบองค์กรธุรกิจต่าง ๆSQL Server (Stored procedure)ASP.NET (Web) หรือ .NET (Win),5d ago
1655,HRIS Specialist (40-50K),MRI Worldwide Recruitment (Thailand) Ltd.,Bangkok,HRIS Specialist (40-50K)HR systems reportingGood command in English,5d ago
1656,Performance Analysis Manager,Central Group (Corporate Units),Bangrak,AnalysisStock ControlPerformance Analysis,6d ago
1657,Cost reduction (30K-70K) (SDG-65899)/พนักงานดูแลด้านเทคนิคการลดต้นทุนบริษัท,"RGF HR Agent Recruitment (Thailand) Co., Ltd.",Ayutthaya,Well-known Japanese Electrical Parts ManufacturiPlan for production cost reductionAt least 4-5 years’ experience as Cost planning,4d ago
1658,Manager - Affiliate Business Control/ผู้จัดการ ส่วนบริหารการเงินบริษัทในเครือ,Global Power Synergy Public Company Limited,Jatuchak,"Accounting & Finance, Economicsanalysis financial performanceMinimum TOEIC score of 700 is required",5d ago
1659,SENIOR ACCOUNTANT,"PRTR Recruitment and Outsourcing (Eastern Seaboard) Co., Ltd",Rayong,"Lead Global Manufacturer of Speciality MaterialsDegree in Acctg, Finance or Related Field5 Yrs in Accounting. (AP, AR, GL, Cost)",20h ago
1660,Senior System Analyst (SAP PTP),Thoresen Thai Agencies Public Company Limited,Pathumwan,SAP PTPImplement New ProjectsManage SAP users,7d ago
1661,IT Business Analyst (MES),KYOCERA AVX (Thailand) Limited,Nakhon Ratchasima,"Software developmentSAP, ERPNew setup plant",7d ago
1662,Specialist-Product Implementation,TMBThanachart Bank Public Company Limited,Jatuchak,"Bachelor’s degree in EconomicsRetail Loan Origination SystemProject Mgr, Business Analysis, System Analysis",6d ago
1663,Junior Sales and Operation Controller (Finance & Accounting background required),Nestle (Thai) Ltd.,Pathumwan,Cost ControllingBusiness analysisBusiness planning,5d ago
1664,Senior  Inventory control Office 1 position,Belton Industrial (Thailand) Ltd.,Ayutthaya,3-5 years in Inventory Control and PlanningMaintains consistent stock of inventoryConducting physical cycle counts of inventory,3d ago
1665,IT Business Partner (SAP/CRM),PRTR,Bangkok,"IT Business Partner (Manager)CRM / SAP Solution SpecialistTransformation, Strategy & Road Mapping",3d ago
1666,eCommerce Officer (Contractor),Colgate-Palmolive (Thailand) Limited,Klongtoey,"1-Year Contract (Renewable)Support eCommerce team / Administrative tasksExcel skills (VLOOKUP, Pivot table)",3d ago
1667,Tech Lead/ IFRS Developer,Prudential Life Assurance (Thailand) Public Company Limited,Pathumwan,IFRS DeveloperAutomated ELT processesTech Lead,6d ago
1668,HRIS Specialist,JAC Personnel Recruitment Ltd,Ladkrabang,"Minimum 3 years experienced in HRIS or Data BaseLocation : Lat KrabangSalary: 45,000 - 47,000 THB",5d ago
1669,Tech Virtual Interview Day! 26 Aug'2022 (New Grads are welcome),Ngern Tid Lor Public Company Limited,Phayathai,"Credit Risk Model, Data Scientist, Automate TesterBA/ SA (IT), MIS, Insurance Business StrategyCollection Strategic Planning, Developer",6d ago
1670,Junior Digital Marketing Executive,D-Link International Pte Ltd.,Rajthevee,,5d ago
1671,Senior Technical Analyst: (Technical / Production Support),ttb spark - TMBThanachart Bank or ttb,Jatuchak,Mobile Application Support ManagementBanking processes and productsproject management / software engineer methodology,6d ago
1672,HRIS Supervisor (ID: 557595),"BTI Executive Placement (Thailand) Co., Ltd.",Bangkok,HRIS systems and databasesInformation TechnologyData Analysis,6d ago
1673,Business Process Expertise : Production Scheduling &  Material Replenishment,PRIME SELECTION (THAILAND) COMPANY LIMITED,Prakanong,,5d ago
1674,Business Solutions Management Supervisor - Project Management,Sompo Insurance (Thailand) Public Company Limited,Bangrak,"Business processe improvementFresh graduate is welcome, Fluent in EnglishBonus 2 months, work from home, medical insurance",5d ago
1675,Senior Project Application Engineer - Market Information Systems Department,The Stock Exchange of Thailand,Dindaeng,ปริญญาตรีสาขาวิศวกรรมคอมพิวเตอร์ประสบการณ์ทำงานทางด้าน IT Developmentทักษะที่จำเป็น ทางด้าน Programming,3d ago
1676,Cash Management Agent,Dusit Thani Public Company Limited,Pathumwan,เรียนรู้งานไว กระตือรือร้นละเอียดรอบคอบปริญญาตรีสาขาการเงิน ประสบการณ์ 2 ปีขึ้นไป,3d ago
1677,Senior Business Analyst,"H LAB Co., Ltd.",Pathumwan,,13d ago
1678,PMO (VP-SVP) (Contract 18 months),United Overseas Bank (Thai) Public Company Limited (UOB),Klongtoey,Assess and mitigate risksBanking BusinessPMO,6d ago
1679,"Senior Manager/Manager, Assortment Compliance and Governance",Lazada  Ltd.,Wattana,Analysis and insights for assortment governance riAssortment risksMaintain strong cross-functional partnerships,7d ago
1680,AVP - Local Earning and Reinsurance (Actuarial),Krungthai AXA Life Insurance Public Company Limited,Bangkok,7 years Life Insurance ExperienceExperience in Actuarial Valuation/Financial ReportGood in English and Excel,6d ago
1681,"Digital Performance Marketing Senior Manager (E-commerce), Bangkok, Thailand","Monroe Recruitment Consulting Group Co., Ltd.",Bangkok,Leading Ecommerce CompanyChallenging Career AspectsAttractive Growth Prospects,4d ago
1682,Financial Planning and Analysis Assistant Manager (FP&A Ass.Manager),DEESTONE CORPORATION PUBLIC COMPANY LIMITED,Phayathai,"Join part of the global company in tire industryHigh Salary, Allowance, Bonus, Provident Fund3-5 years of experience in a Financial planning",7d ago
1683,Developer - FSI Business Unit,"SS&C Technologies, Inc. - Thailand office",Wattana,"Flexible approach to Working from homeWork in an international environmentExcellent benefits, Medical, Flexible time off",6d ago
1684,"Assistant Manager, Portfolio Analyst",Eastspring Asset Management (Thailand) Company Limited,Pathumwan,,5d ago
1685,Buying Manager - Packaged Non Food,Lotus's,Beungkum,"Buyer, Merchandiser, Product Sourcing or relatedMinimum of 5 years commercial buying experienceExperience of dealing with B2B, wholesales",4d ago
1686,Expense Analysis Manager (Contract 6 months),"Skillpower Services (Thailand) Co., Ltd.",Huaykwang,"Monthly Closing, Manage Expense analysis reportMinimum 5 years work experience in accounting areaKnowledge of Tax and Accounting related process",3d ago
1687,Market Supervision Policy - Market Supervision Policy Department,The Stock Exchange of Thailand,Dindaeng,Coordinate closely with business functionsBachelor’s Degree in Business or related fields2-3 years of relevant experience,3d ago
1688,Application Engineer Supervisor (SharePoint),"FUJITSU (THAILAND) CO., LTD.",Klongtoey,Collect and analysis customer requirementsPrepare report of existing system and requirementsHaving experiences and skills in SharePoint,4d ago
1689,"Associate, Category Hunting (Seller Engagement)",Lazada  Ltd.,Bangkok,"Company located in Shopping mall, BTS PromtpongAttractive salary package and company benefitHybrid working, 3 days at office and 2 days WFH",4d ago
1690,Senior Advertising Operations Executive,WPP (THAILAND) LTD. - GROUPM,Pathumwan,1-2 years' experience in advertising operationsFresh Graduates are welcomePassion in Online Media with analytical skill,7d ago
1691,SAP Consultant Trainee (New Graduate),"JC TECHNOLOGY CO., LTD.",Sapan-suang,"Fresh graduate onlyGood command of English5-day work week, Transportation allowance",6d ago
1692,"Senior Executive , Commercial","Access World Logistics (Thailand) Co., Ltd.",Bangna,Minimum 2 years of total working experienceExperience in the metal industry preferredEffective interpersonal skills,3d ago
1693,Demand Planner Manager,Charoen Pokphand Foods Public Company Limited,Huaykwang,Demand Plannerinventory ManagementSupply Chain Management,6d ago
1694,Programmer/โปรแกรมเมอร์,Thai Yazaki Group,Klongtoey,"VB.NET C#.NET,HTML, CSS, Java script, jQuery, AjaxProgrammer, Oracle, systemSQL,AS400, Engineering",4d ago
1695,.Net Developer on site Chaengwattana,"Vanness Plus Consulting Co., Ltd.",Bangkok,,4d ago
1696,Assistant Manager of Application Development/ผู้ช่วยผู้จัดการฝ่าย Application Development,"ADVICE IT INFINITE CO., LTD.",Prakket,"Application Developmentวิเคราะห์และออกแบบข้อมูลสารสนเทศMySql, MS SQL Server, SQL Language, Visual FoxPro",6d ago
1697,Digital Marketing Senior Officer / Manager,"SI-UK Bangkok Co., Ltd.",Wattana,Marketing CommunicationsStrong analytical skillsCan-do attitude with good interpersonal skills,4d ago
1698,Senior Demand Planning and Inventory Management Executive,ELCA (Thailand) Ltd. (Estee Lauder Group),Bangrak,Demand & Supply planning and Inventory mangementOver 3 years in Demand/ Supply/ Inventory planningGood knowledge of Microsoft Excel and Good English,5d ago
1699,Head of Process Improvement,KASIKORNBANK PUBLIC COMPANY LIMITED,Ratburana,"Process ImprovementProject ManagementIT, MIS",6d ago
1700,Corporate Finance Supervisor,"Bertram (1958) Co., Ltd.",Wangthonglang,"5+ years exp. in financial analysis and budgetingExcellent skill in Microsoft ExcelStrong analytical, problem solving",6d ago
1701,Demand and Supply Manager/ผู้จัดการการจัดหาและความต้องการ,"MERCULAR CO., LTD.",Sathorn,Strong Knowledge of Electronic gadget productStrong team managementStrong Knowledge of demand and supply system,4d ago
